ID,Nacionality,Gender,Target
37c5fefa-df8e-4dcc-aec7-60000f2198e4,Portuguese,Male,Dropout
37cf2ef2-2a6f-466a-a8cf-56a753bd8e71,Portuguese,Male,Graduate
37ddd4c5-ab63-4b43-8df7-24e98f39f25b,Portuguese,Male,Dropout
37fafa03-d77a-4723-89aa-84a8277379c5,Portuguese,Female,Graduate
382cc9e8-e885-4bcd-ae4d-a3846c35097b,Portuguese,Female,Graduate
383bf719-eefb-4702-9be2-53210a748e41,Portuguese,Male,Graduate
383e501d-9483-4cf7-be87-c6983a5f06e5,Portuguese,Female,Graduate
388f15de-4814-4089-aa9a-3f0a802e9d46,Portuguese,Male,Dropout
3899bb4a-e7c0-4de6-98ee-efed175dccfd,Romanian,Female,Graduate
399bb346-852e-4ca5-985f-b86221eb72cd,Portuguese,Female,Dropout
39b86cf6-888d-4548-8b11-18e7e29bc44a,Portuguese,,Graduate
39cea137-8501-4481-bfe8-67ba8660f698,Portuguese,Female,Graduate
39e2c9bd-6cfd-4777-b9fc-d03eef598eac,Portuguese,Female,Dropout
3a311ae3-97a3-4fa9-aabf-0e3ddc90af9f,Portuguese,Female,Graduate
3a4ef60c-4450-48b4-88b5-dfbdef9e5261,Portuguese,Female,Graduate
3a6fe19a-ef47-49b1-af16-80bdf527fdcb,Portuguese,Female,Dropout
3a8419bc-da18-4f18-8a8b-c0fec53a2b6b,Portuguese,Female,Enrolled
3ac49c7d-0e7f-44b6-b6a2-3d248d0595e6,Portuguese,Female,Graduate
3af67509-9391-4ab6-8582-638379168eca,Portuguese,Female,Graduate
3b14a36a-3027-41fd-896e-7a34300a1601,Portuguese,Female,Enrolled
3b2a509f-f300-4627-be79-0a69d3d6d630,Portuguese,Female,Graduate
3b35b0f2-039b-49db-a800-4cb693009a42,Portuguese,Female,Enrolled
3bbc26c0-f0bd-4914-a6e5-b26ca2d435b0,Portuguese,Female,Graduate
3bcc8c71-9797-4290-b55c-21bca58be26c,Portuguese,Female,Graduate
3bf60325-916d-4974-8c0c-d562d9369fbe,Portuguese,Female,Graduate
3bfcef18-a691-421e-bd59-dd9fdea8fc22,Portuguese,Female,Enrolled
3c24e8e6-291f-4f73-b7fd-875881e79fa3,Portuguese,Female,Graduate
3c40c5df-7ba0-4f97-8e80-bf06fc004f8e,Portuguese,Female,Enrolled
3cc8eaae-e986-4dd7-890d-a5c604ad010a,Portuguese,Female,Graduate
3d10cab7-0969-433b-943f-4de8c2aa04c6,Portuguese,Male,Enrolled
3d1ea7ff-2444-4c71-a68b-b97e797961d3,Portuguese,Male,Enrolled
3d2e7c84-5946-4262-89a7-eb94c63ddfd5,Portuguese,Male,Graduate
3d49fe91-cb69-45f2-814c-e61226e80bba,Portuguese,Male,Enrolled
3d4d2162-35fd-4602-b1a5-ce799d036948,Portuguese,Female,Graduate
3d8c53af-a7f6-4644-bfdf-40a3ac31db1f,Portuguese,Male,Graduate
3dc11d1c-cae9-4079-b3b7-b86db47fb0e0,Portuguese,Male,Dropout
3de73364-078d-4da7-96c9-8f0da322c98a,Portuguese,Male,Dropout
3e434bbc-741b-4763-b9a0-3df6be513364,,Female,Dropout
3e47282d-556b-4a3d-a4f7-fa13b025508f,Portuguese,Female,Graduate
3e5f47d3-5864-4094-a0d9-358dbdd391a0,Spanish,Female,Dropout
3e79b11f-c3ed-4479-b89a-7badc2859b20,Portuguese,Female,Dropout
3e8bbf28-59eb-4af3-a72b-894adb7e3883,Portuguese,Female,Graduate
3ea66335-ca73-4d43-bea0-f9f0011e40fb,Portuguese,Female,Graduate
3eb7d4ef-7e6c-47f3-826e-671f5f02b13e,Portuguese,Female,Dropout
3eed7db8-87cc-443f-9dc0-9e63a24f8359,Portuguese,Female,Dropout
3f15d918-f679-4d4a-a25b-f71357d836b8,Portuguese,Female,Enrolled
3f2b61c0-10d3-433b-a720-cdec1944b1f6,Portuguese,Female,Graduate
3f3e15db-3329-42d3-8c81-67f2369a3728,Portuguese,,Graduate
3f5c8ee4-4716-49e4-95f2-35f16cc34460,Portuguese,Female,Graduate
3f61f57f-fdab-4201-a9c8-c833083f382b,Portuguese,Female,Graduate
3fb2a0da-758f-45cb-baa3-8926c2531fc9,Portuguese,Female,Graduate
3fe87785-07ec-4cb9-a955-70884c1fb9bb,Portuguese,Female,Enrolled
40085add-8875-44c7-8559-2c00c09ba635,Portuguese,Female,Enrolled
403c1040-7a9c-467d-bbaf-f9239eb6fe13,Portuguese,Female,Graduate
40489a43-b44b-44b8-a3ec-f94da9f9c564,Portuguese,Female,Dropout
405ee5b5-eee4-49d1-899a-8ee5dc6c8ba9,Portuguese,Female,Graduate
40842874-b77c-4ae0-b0eb-ca26bf2884e1,Portuguese,Female,Dropout
40b2ec90-39e6-4c53-8cf2-b81e6e3584aa,Portuguese,Female,Dropout
40bebd37-429b-453c-8dfa-9eebea2017f1,Portuguese,Female,Graduate
